Bad Sachsa;Sachsa Bad;;;;;8000739
Bad Säckingen;Säckingen Bad;;;;;8005255
Bad Salzdetfurth;Salzdetfurth Bad;;;;;8000740
Bad Salzdetfurth Solebad;;;;;;8000759
Bad Salzhausen;Nidda-Bad Salzhausen;Salzhausen Bad;;;;8000741
Bad Salzig KD;Salzig SF Bad;;;;;8075959
Bad Salzschlirf;Salzschlirf Bad;;;;;8000743
Bad Salzuflen;Salzuflen Bad;;;;;8000744
Bad Salzungen;SLZ;Salzungen Bad;;;;8010021
Bad Sassendorf;Sassendorf Bad;;;;;8000745
Bad Saulgau;Saulgau Bad;;;;;8005301
Bad Schachen;Schachen Bad;;;;;8079006
Bad Schandau;Schandau Bad;;;;;8010022
Bad Schlema;;;;;;8012873
Bad Schmiedeberg;Schmiedeberg Bad;;;;;8011081
Bad Schmiedeberg Kurzentrum;;;;;;8070831
Bad Schönborn Süd;Schönborn Süd Bad;;;;;8003533
Bad Schönborn-Kronau;Schönborn-Kronau B;Kronau-Bad Schönb.;;;;8004032
Bad Schussenried;Schussenried Bad;;;;;8000746
Bad Schwartau;Schwartau Bad;;;;;8000749
Bad Sebastiansweiler-Belsen;Mössingen-B.Sebasti;Sebastiansw.Bels Bad;;;;8000750
Bad Segeberg;SE;Segeberg Bad;;;;8000751
Bad Sobernheim;Sobernheim Bad;;;;;8005583
Bad Soden-Salmünster;Soden-Salmünst. Bad;;;;;8005261
Bad Soden(Taunus);Soden(Taunus) Bad;;;;;8000752
Bad Sooden-Allendorf;Sooden-Allendorf Bad;;;;;8000753
Bad St Peter Süd;Peter Süd Bad St;;;;;8000754
Bad St Peter-Ording;Peter-Ording Bad St;;;;;8000755
Bad Staffelstein;Staffelstein Bad;;;;;8005670
Bad Steben;Steben Bad;;;;;8000756
Bad Suderode;Suderode Bad;;;;;8011084
Bad Sulza;Sulza Bad;;;;;8011085
Bad Sulza Nord;Sulza Nord Bad;;;;;8011086
Bad Teinach-Neubulach;Neubulach Teinach Ba;Teinach Bad;;;;8000757
Bad Tölz;TÖL;Tölz Bad;;;;8000758
Bad Tönisstein;Tönisstein Bad;;;;;8070314
Bad Urach;Urach Bad;;;;;8006029
Bad Urach Ermstalklinik;;;;;;8006027
Bad Urach Wasserfall;Urach Wasserfall Bad;;;;;8070680
Bad Vilbel;Vilbel Bad;;;;;8000760
Bad Vilbel Süd;Vilbel Süd Bad;;;;;8000761
Bad Vilbel-Gronau;Gronau(Hess-Nass);;;;;8002382
Bad Waldsee;Waldsee Bad;;;;;8000763
Bad Wildbad Bf;Wildbad Bad;;;;;8006431
Bad Wildbad Kurpark;;;;;;8070283
Bad Wildbad Nord;;;;;;8070281
Bad Wildbad Uhlandplatz;;;;;;8070282
Bad Wildungen;Wildungen Bad;;;;;8000764
Bad Wilsnack;Wilsnack Bad;;;;;8011088
Bad Wimpfen;Wimpfen Bad;;;;;8000765
Bad Wimpfen Im Tal;;;;;;8000706
Bad Wimpfen-Hohenstadt;Wimpfen-Hohenst. Bad;;;;;8000766
Bad Windsheim;Windsheim Bad;;;;;8000767
Bad Wörishofen;Wörishofen Bad;;;;;8000768
Bad Wurzach;;;;;;8000769
Bad Zwischenahn;Zwischenahn Bad;;;;;8000770
Baddeckenstedt;;;;;;8000772
Baden-Baden;BAD;Baden Baden Bahnhof;;;;8000774
Baden-Baden Haueneberstein;;;;;;8000771
Baden-Baden Rebland;;;;;;8000775
Baden(Verden);;;;;;8000773
Bagenz;;;;;;8011097
Bahlingen am Kaiserstuhl;;;;;;8007293
Bahlingen Riedlen;;;;;;8007310
Bahnbrücken;Kraichtal-Bahnbrüc.;;;;;8007144
Bahnsdorf;;;;;;8011098
Baierbrunn;;;;;;8000781
Baiersbronn Bf;;;;;;8000782
Baiersbronn Schule;;;;;;8000789
Baiersdorf;;;;;;8000783
Baitz;;;;;;8011100
Balbersdorf;;;;;;8000784
Baldham;Vaterstetten-Baldham;;;;;8000785
Balduinstein;;;;;;8000786
Balgheim;;;;;;8000787
Balgstädt;;;;;;8011103
Balingen Süd;;;;;;8000788
Balingen(Württ);BL;;;;;8000353
Ballstädt(Gotha);;;;;;8011106
Balteratsried;;;;;;8070975
Baltersweiler;;;;;;8000792
Baltrum;;;;;;8007778
Balve;;;;;;8000793
Bamberg;BA;;;;;8000025
Bammental;;;;;;8000794
Bannemin-Mölschow;;;;;;8011108
Bansin Seebad;;;;;;8011109
Banteln;;;;;;8000796
Bantorf;Barsinghausen-Bantor;;;;;8000797
Barabein;Warthausen-Barabein;;;;;8079098
Barbelroth;;;;;;8000802
Bardowick;;;;;;8000801
Bärenhecke-Johnsbach;;;;;;8011091
Bärenklau;;;;;;8011093
Bärenstein(b Glashütte, Sachs);;;;;;8011095
Bargstedt;;;;;;8007840
Bargteheide;;;;;;8000804
Barleben;;;;;;8011111
Barleber See;;;;;;8011112
Barmstedt;;;;;;8007070
Barmstedt Brunnenstr;;;;;;8007069
Bärnsdorf;;;;;;8011096
Barnstorf(Han);;;;;;8000807
Barnten;Nordstemmen-Barnten;;;;;8000808
Barrien;;;;;;8000810
Barsinghausen;;;;;;8000812
Barth;;;;;;8011114
Barthmühle;;;;;;8011115
Baruth(Mark);;;;;;8011116
Basdahl Kluste;;;;;;8070023
Basdorf;;;;;;8010025
Basel Bad Bf;BAS;;;;;8000026
Bassum;;;;;;8000354
Battenberg Bf;;;;;;8000819
Battenberg-Auhammer;;;;;;8000665
Batzenhäusle;Waldkirch Batzenhäusle;;;;;8000821
Batzhausen;;;;;;8000822
Bauerbach;Bretten-Bauerbach;;;;;8000823
Bäumenheim;;;;;;8000778
Baumholder;;;;;;8007888
Baunach;;;;;;8000826
Baunatal-Guntershausen;;;;;;8000140
Baunatal-Rengershausen;;;;;;8005039
Bautzen;BZ;;;;;8010026
Bavendorf;Thomasburg-Bavendorf;;;;;8000827
Bayerbach;;;;;;8000828
Bayerisch Eisenstein;Zelezna Ruda-Alzb.;;;;;8000830
Bayerisch Gmain;Bayrisch Gmain;;;;;8000831
Bayreuth Hbf;BT;;;;;8000028
Bayreuth-St Georgen;;;;;;8000833
Bayrischzell;Bayerischzell;;;;;8000834
Bebitz;;;;;;8011119
Bebra;;;;;;8000029
Bechstedt-Trippstein;;;;;;8011121
Beckingen(Saar);;;;;;8000840
Bedburg-Hau;;;;;;8000842
Bedburg(Erft);;;;;;8000030
Beelen;;;;;;8000846
Beelitz Stadt;;;;;;8013468
Beelitz-Heilstätten;;;;;;8013467
Beerfelden Hetzbach;Hetzbach Beerfelden;;;;;8002815
Beeskow;;;;;;8010029
Beetz-Sommerfeld;;;;;;8011125
Behringersdorf;Schwaig-Behringersd.;;;;;8000850
Beienheim;Reichelsheim(Wet)Bei;;;;;8000851
Beilrode;;;;;;8011131
